DS_CARGO;NR_CANDIDATO;NM_CANDIDATO
GOVERNADOR;40;RICARDO GARCIA CAPPELLI
GOVERNADOR;55;JOS ROBERTO ARRUDA
GOVERNADOR;36;ELISSON FERREIRA FREIRE
DEPUTADO DISTRITAL;18011;FRANCISCO JOAQUIM DE CARVALHO
DEPUTADO DISTRITAL;50000;MICHEL PLATINI GOMES FERNANDES
DEPUTADO DISTRITAL;50060;MANOEL CORDEIRO LIMA
DEPUTADO DISTRITAL;30123;PAULO SILVA DO NASCIMENTO
DEPUTADO DISTRITAL;30000;LUIZ GUILHERME DE MEDEIROS
DEPUTADO DISTRITAL;30444;PEDRO PAGANO JUNQUEIRA PAYNE
DEPUTADO DISTRITAL;14040;RHAILLER SANTOS ESTRELA
DEPUTADO DISTRITAL;14100;ANA CAROLINA TEIXEIRA DO NASCIMENTO MAIA
DEPUTADO DISTRITAL;14714;AMANDA CAMARGO LEMOS
DEPUTADO DISTRITAL;14000;YURI KAYN OLIVEIRA DE CARVALHO
DEPUTADO DISTRITAL;27234;ZULEIKA APARECIDA LOPES
DEPUTADO DISTRITAL;27391;FABIO RODRIGUES RAMOS
DEPUTADO DISTRITAL;27000;RAFAEL OLIVEIRA DE MACEDO
DEPUTADO DISTRITAL;35355;LUCIMIR HENRIQUE PESSOA MAIA
DEPUTADO DISTRITAL;35180;CARLOS ANTONIO DOS SANTOS COSTA
DEPUTADO DISTRITAL;35678;ANTONIA ANGELICA NETA
DEPUTADO DISTRITAL;35007;ISABELA LUSTOSA DE SOUSA SOARES
DEPUTADO DISTRITAL;12344;DHIOGO SOARES RODRIGUES
DEPUTADO DISTRITAL;12122;MARIA FRANCISCA SOARES DA CRTE
DEPUTADO DISTRITAL;10111;CELESTINO CHUPEL
DEPUTADO DISTRITAL;10110;ANDREA BARROS ESPANHA NEVES
DEPUTADO DISTRITAL;10111;DIGENES BASTOS CARVALHO SILVA
DEPUTADO DISTRITAL;22001;ANDRA PONTES E SILVA
DEPUTADO DISTRITAL;22333;ANDREIA MOURA ZEMUNER
DEPUTADO DISTRITAL;13321;FTIMA LCIA RLA
DEPUTADO DISTRITAL;43123;ELKE DA SILVA PIMENTEL
DEPUTADO DISTRITAL;13056;DAYSE DE HANSA NOGUEIRA LIMA
DEPUTADO DISTRITAL;45300;FRANCISCO JOO PINTO DA SILVA
DEPUTADO DISTRITAL;45321;MARIA DE FATIMA PEREIRA DA SILVA GODOI
DEPUTADO DISTRITAL;45617;NATANRY LUDOVICO LACERDA OSORIO
DEPUTADO DISTRITAL;45456;MARIA DA GLORIA DE JESUS VALE
DEPUTADO DISTRITAL;45125;DUARTINA BENEDITA DE SOUZA SILVA
DEPUTADO DISTRITAL;55321;ELEUZITO DA SILVA REZENDE
DEPUTADO DISTRITAL;20101;MANUELA DE SOUZA ANDRADE
DEPUTADO DISTRITAL;20700;JOAO DE DEUS PAULO JUNIOR
DEPUTADO DISTRITAL;20001;ARTUR CEZAR DE ABREU BENVENUTO
DEPUTADO DISTRITAL;20000;ROBERIO BANDEIRA DE NEGREIROS FILHO
DEPUTADO DISTRITAL;33700;GUTEMBERG FARIA RIOS
DEPUTADO DISTRITAL;44070;CRISTIANO ALENCAR SEVERO
DEPUTADO DISTRITAL;11112;MARTHA ELIENE GONCALVES BEZERRA DE CASTRO
DEPUTADO DISTRITAL;77137;MARLENE ZENI
DEPUTADO DISTRITAL;77843;ORION DE OLIVEIRA GONALVES
DEPUTADO DISTRITAL;25500;IRACEMA MARIA DURAO MOREIRA
DEPUTADO DISTRITAL;77135;NERY CHARLIE BATISTA NERI
DEPUTADO DISTRITAL;70077;PATRICIA DA SILVA DE OLIVEIRA
DEPUTADO DISTRITAL;70789;MARCELE CANDIDO DE MORAES
DEPUTADO DISTRITAL;70255;LAERCIO DE CARVALHO ALVES
DEPUTADO DISTRITAL;15900;JAQUELINE ANGELA DA SILVA
DEPUTADO FEDERAL;3000;WILKER LEO DE S
DEPUTADO FEDERAL;1086;CAROLINE MARTINS BARTHOLO FURLAN
DEPUTADO FEDERAL;1001;ELIZABETH LOPES ROSAS
DEPUTADO FEDERAL;5001;RONALDO ADRIANO FIUZA CARDOSO
DEPUTADO FEDERAL;5000;NEIVA LOPES SOUSA
DEPUTADO FEDERAL;2522;GILSON AMORIM SOBRINHO
DEPUTADO FEDERAL;2022;CARLOS ALBERTO MACEDO DA ROSA
DEPUTADO FEDERAL;2090;VERA LUCIA DE OLIVEIRA
DEPUTADO FEDERAL;2088;CAROLINE DIAS RIBEIRO
DEPUTADO FEDERAL;1414;VICTOR KALIL CACHEN PINHEIRO RATTES
DEPUTADO FEDERAL;3355;JOEL ANTONIO MATOS
DEPUTADO FEDERAL;3390;MAURO MARTINS LOPES
DEPUTADO FEDERAL;3310;EVANILDO CORREIA GARCIA
DEPUTADO FEDERAL;4555;JOSE OSCAR DA SILVA
DEPUTADO FEDERAL;4545;LEIRSON TRIGUEIRO MATOS
DEPUTADO FEDERAL;1216;ISANIL FRANCISCO GUALBERTO
DEPUTADO FEDERAL;2277;SANDRA FARAJ CAVALCANTE
DEPUTADO FEDERAL;2222;JOAO ALBERTO FRAGA SILVA
DEPUTADO FEDERAL;4300;JULIANA FERNANDES MACHADO CAMPOS
DEPUTADO FEDERAL;2929;CARLOS VINCIUS PEREIRA ALVES
DEPUTADO FEDERAL;3510;RICHARD DA SILVA BANHARA
DEPUTADO FEDERAL;4444;SANDRO TORRES AVELAR
DEPUTADO FEDERAL;1177;MARCOS WESLEY DE SOUSA FEITOSA
DEPUTADO FEDERAL;7052;ANA PAULA FEROLA ARAUJO
DEPUTADO FEDERAL;7000;CARLOS ALBERTO ARAUJO DE SOUZA
DEPUTADO FEDERAL;7022;SEVERINO ROGRIO RODRIGUES DO NASCIMENTO
DEPUTADO FEDERAL;7088;PAULO CEZAR PEREIRA DE SA
DEPUTADO FEDERAL;5500;ADILA MARIA STEMLER
DEPUTADO FEDERAL;5555;MARIA CAROLINE FLEURY DE LIMA
DEPUTADO FEDERAL;4008;DANIELA AGUIAR DE CARVALHO FREITAS
DEPUTADO FEDERAL;2750;SOCORRO MARTINS DA SILVA
DEPUTADO FEDERAL;1505;PAMELA PEREIRA VIEIRA
DEPUTADO FEDERAL;1555;JOSE HUMBERTO PIRES DE ARAUJO
DEPUTADO DISTRITAL;30222;RICARDO FELLIPE SILVA VALE CASTRO
DEPUTADO DISTRITAL;30333;REGIS SOARES MACHADO
DEPUTADO DISTRITAL;30033;MATHEUS FERNANDES DE OLIVEIRA
DEPUTADO DISTRITAL;14149;EMANUELLE DA CONCEIO LIMA
DEPUTADO DISTRITAL;14141;HENRIQUE RODRIGUES DURES
DEPUTADO DISTRITAL;27321;CLAUDECI XAVIER DE MIRANDA
DEPUTADO DISTRITAL;27888;WELLINGTON JOSE DIONIZIO
DEPUTADO DISTRITAL;27027;RICARDO DE SOUZA LIMA CAIAFA
DEPUTADO DISTRITAL;27727;LUCINEIDE ARAUJO DE SOUZA
DEPUTADO DISTRITAL;27333;MARGARIDA MARIA REGIS DE ALMEIDA CHAULET
DEPUTADO DISTRITAL;27100;LORRUANA MEDEIROS OLIVEIRA
DEPUTADO DISTRITAL;35353;DIOLAN COSTA ROCHA
DEPUTADO DISTRITAL;35999;ALANNA ALVES AMARAL
DEPUTADO DISTRITAL;35500;FERNANDA SILVA BATISTA
DEPUTADO DISTRITAL;35250;ELIZEU DE SOUZA
DEPUTADO DISTRITAL;35800;ELIAS DA SILVA SANTOS
DEPUTADO DISTRITAL;40100;BERNARDO MOREIRA AMADO BARROS
DEPUTADO DISTRITAL;40321;SOFIA MARTINS CARVALHO
DEPUTADO DISTRITAL;40120;AVELINO JOSE PEREIRA
DEPUTADO DISTRITAL;40233;MARIANGELA ARAJO SILVA
DEPUTADO DISTRITAL;12000;JOVITA JOS ROSA
DEPUTADO DISTRITAL;12071;ANTNIO MARCOS SILVA ARAJO
DEPUTADO DISTRITAL;12123;FERNANDO MOURA DOS SANTOS
DEPUTADO DISTRITAL;12345;JOE CARLO VIANA VALLE
DEPUTADO DISTRITAL;10722;MARCOS OTVIO DE ANDRADE PORTO
DEPUTADO DISTRITAL;10777;MARCELO PEREIRA SURCIN
DEPUTADO DISTRITAL;22221;CRISTIANE GOMES DA COSTA
DEPUTADO DISTRITAL;22224;JOAO ALEXANDRE DE LIMA OLIVEIRA
DEPUTADO DISTRITAL;22888;JOAO ALVES CARDOSO
DEPUTADO DISTRITAL;22100;RODRIGO AMARAL DANTAS PINHO
DEPUTADO DISTRITAL;22478;ALEXANDRE AUGUSTO RODRIGUES ALVES
DEPUTADO DISTRITAL;13100;FRANCISCO DOMINGOS DOS SANTOS
DEPUTADO DISTRITAL;13012;ANDREY ROOSEWELT CHAGAS LEMOS
DEPUTADO DISTRITAL;13197;DANIEL HENRIQUE COSTA DE BARROS
DEPUTADO DISTRITAL;13131;GABRIEL MAGNO PEREIRA CRUZ
DEPUTADO DISTRITAL;45061;EDLEUZO SOUZA CAVALCANTE
DEPUTADO DISTRITAL;45345;GABRIEL LOPES LUNA SOUSA
DEPUTADO DISTRITAL;45163;VALDECY PEREIRA DE ALMEIDA
DEPUTADO DISTRITAL;55575;ALINE KELEN VESELY REIS
DEPUTADO DISTRITAL;55655;LIDIA CAMARA PERES
DEPUTADO DISTRITAL;55000;PABLO AGUIAR TAVARES DE PAULA GOMES
DEPUTADO DISTRITAL;55100;SANDRA SOARES BACELAR
DEPUTADO DISTRITAL;55033;KILLA MARIA DE MELO MARINHO
DEPUTADO DISTRITAL;20020;JOSE RODRIGUES DO REGO NETO
DEPUTADO DISTRITAL;20111;MARIA CLAUDIA LAPA DE SOUZA BUSTAMANTE
DEPUTADO DISTRITAL;20090;LUCIANO ALVES DA COSTA SANTOS
DEPUTADO DISTRITAL;20193;ALAN ALEXANDRE ARAUJO
DEPUTADO DISTRITAL;20033;KLEBES REZENDE DA CUNHA
DEPUTADO DISTRITAL;33122;LTICIA SAMPAIO JUSTINO
DEPUTADO DISTRITAL;33088;EMANUELL HENRIQUE DA SILVA
DEPUTADO DISTRITAL;33190;ULISSES DA COSTA DIAS
DEPUTADO DISTRITAL;44007;LUCIJAINE VILAR DA SILVA
DEPUTADO DISTRITAL;11234;VALDELINO RODRIGUES BARCELOS
DEPUTADO DISTRITAL;77200;IPAMINONA RODRIGUIS DA SILVA
DEPUTADO DISTRITAL;77321;NEWTON BARBOSA DA CONCEICAO
DEPUTADO DISTRITAL;25001;HELVDIO NUNES DE BARROS NETO
DEPUTADO DISTRITAL;15333;TARIK INVERNIZZI
DEPUTADO DISTRITAL;15156;FERNANDA MATEUS COSTA MELO
DEPUTADO DISTRITAL;15500;DILSON RESENDE DE ALMEIDA
DEPUTADO FEDERAL;3033;ELAYNE CRISTINA CACHEN GUIMARES PINHEIRO RATTES
DEPUTADO FEDERAL;3036;MARIA APARECIDA VILLAS BAS
DEPUTADO FEDERAL;1011;GILVAM MAXIMO
DEPUTADO FEDERAL;5005;LUDMILA WEIZMANN SUAID LEVYSKI
DEPUTADO FEDERAL;1801;MARIA CLEUDES PESSOA
DEPUTADO FEDERAL;7777;MARIA GERCIANE DA CONCEIO LIMA
DEPUTADO FEDERAL;7733;GABRIEL PORTELLA FAGUNDES NETO
DEPUTADO FEDERAL;2020;LUIZ CLAUDIO FREIRE DE SOUZA FRANCA
DEPUTADO FEDERAL;2033;KLEBSON FRANCISCO DOS SANTOS
DEPUTADO FEDERAL;3322;WESTHARLLEY DANIEL DE SOUZA RAPOSO
DEPUTADO FEDERAL;3332;ISAURINETE BARBOSA DE MIRANDA
DEPUTADO FEDERAL;2323;ROBERTO JOO PEREIRA FREIRE
DEPUTADO FEDERAL;1234;RAFAEL DE CARVALHO PULLEN PARENTE
DEPUTADO FEDERAL;2211;PAULO ULISSIS BATISTA LIMA
DEPUTADO FEDERAL;2220;AGACIEL DA SILVA MAIA
DEPUTADO FEDERAL;1331;MARCIA ABRAHAO MOURA
DEPUTADO FEDERAL;3525;STEPHANIE ALVES GAMA DE SOUZA
DEPUTADO FEDERAL;7007;JEAN VICTOR CHAVES PORTELA
DEPUTADO FEDERAL;5577;JLIO CESAR FLORENCIO ISIDRO
DEPUTADO FEDERAL;4004;ISRAEL MATOS BATISTA
DEPUTADO FEDERAL;4040;RODRIGO SOBRAL ROLLEMBERG
DEPUTADO FEDERAL;2700;ELIZEU PINTO COSTA
DEPUTADO FEDERAL;2777;IVONE LOPES DE CARVALHO
